"Data Source","World Development Indicators",
"Guinea","GIN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.456","","","","0.492","","","","","","","","","","0.555","0.41","0.122","","0.573","","","","","",
"Gambia, The","GMB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.201","0.431","0.441","0.44","0.716","0.775","","","","1.158","","","1.43","","0.651","0.613","0.567","0.888","","","",
"Guinea-Bissau","GNB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.796","","","","0.64","0.682","","0.546","","0.518","0.508","0.539","0.569","","0.667","","0.772","1.053","","",
"Equatorial Guinea","GNQ","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.328","","","","","","","","","","","","","0.437","0.27","","","","","",
"Greece","GRC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.788","2.896","3.11","3.461","3.485","3.478","3.525","3.448","3.447","3.502","3.612","3.714","3.741","3.608","3.553","3.484","3.453","3.509","3.591","3.663","3.698","","","","",
"Grenada","GRD","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.689","3.408","3.392","3.383","3.367","","","3.586","","","","","","","","","","","2.804","5.747","","","","","",
"Greenland","GRL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.873","","","","","0.956","0.98","1.022","1.227","1.313","","2.308","","","",
"Guam","GUM","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29","","","","","","","","","1.316","1.008","","","0.728","0.638","0.709","0.744","0.799","1.031","2.657","3.483","","","",
"High income","HIC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.72398163039881","","","","","","","","","","9.0007330671867","","","","","","","","","10.0863834530467","","","","",
"Hong Kong SAR, China","HKG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.281","","","","","1.031","","","","","0.846","","","0.686","0.664","0.65","0.718","0.716","0.713","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.541387923361342","","","","","","","","","0.891248619150963","","","","",
"Croatia","HRV","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.956","4.493","4.644","4.541","4.379","4.009","4.177","4.421","4.58","4.714","4.871","4.923","4.972","5.015","5.131","5.186","5.287","5.414","5.629","5.523","5.723","5.856","5.972","6.13","6.101","6.16","8.093","","","","","","","",
"Haiti","HTI","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.104","","","","","","","","","","","","","1.204","","","","0.286","","","0.402","","","","","",
"Hungary","HUN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.445","5.079","5.364","5.692","5.702","5.582","5.65","5.557","5.693","5.596","5.488","5.725","5.892","5.978","5.98","6.154","6.402","6.118","6.329","6.393","6.392","6.396","6.496","6.596","6.583","6.64","6.601","6.763","6.867","6.858","6.818","6.604","","",
"IBRD only","IBD","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26137225227391","","","","","","","","","","1.91833887000421","","","","","","","","","","","","","","","","","","","3.03596818469464","","","","",
"IDA & IBRD total","IBT","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31306207795456","","","","","","","","","","1.87527871352491","","","","","","","","","","","","","","","","","","","2.50667746278453","","","","",
"IDA total","IDA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.939986843701566","","","","","","","","","1.00639157785723","","","","",
"IDA blend","IDB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46639730956938","","","","","","","","","1.00995084764277","","","","",
"Indonesia","IDN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.624","","","","","","","","","","","0.807","","","","","","","","","","","","1.296","","2.054","3.122","3.822","3.978","","","",
"IDA only","IDX","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.661491800417259","","","","","","","","","1.00465766857838","","","","",
"Isle of Man","IMN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.376","","","","","","","","","1.162","1.177","","1.238","1.252","1.283","","","","","","","","","","","","2.084","1.707","","1.728","","","",
"Not classified","INX","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.58","12","12.43","12.95","13.21","13.69","14.08","14.9","15.43","14.9","12.45","12.33","12.66","13.76","13.67","13.03","13.55","13.5","13.08","12.65","12.27","12.44","11.66","14.48","12.97","15.6","18.43","14.9","","",
"Iran, Islamic Rep.","IRN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.394","1.397","1.672","","","","","1.953","","","1.515","1.814","","2.51","1.984","","","","","",
"Iraq","IRQ","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32","","1.049","","","","","","1.948","1.758","1.554","1.623","1.718","1.936","","2.256","","","",
"Iceland","ISL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.26","13.26","13.22","13.48","13.58","13.09","13.09","13.84","14.25","14.14","13.98","13.9","13.98","14.37","14.44","14.74","14.49","14.77","15.66","16.06","15.32","15.68","15.95","16.26","16.14","16.27","15","15.29","15.47","16.15","16.33","","","",
"Israel","ISR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.92","5.369","5.328","5.435","5.55","5.818","5.899","5.825","5.688","5.548","5.618","5.605","5.489","5.264","5.137","5.117","5.228","5.252","5.305","5.315","5.353","5.472","5.577","5.534","5.531","5.677","5.632","","",
"Italy","ITA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.738","5.787","5.849","5.484","5.356","5.218","5.382","5.506","5.501","5.497","5.47","5.443","5.355","5.323","5.576","5.748","5.889","6.128","6.075","6.445","6.56","6.553","","",
"Jamaica","JAM","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65","","","","","1.081","","","","1.557","1.479","1.474","1.501","1.664","1.526","0.984","","","","","",
"Jordan","JOR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.867","2.965","3.079","3.082","2.845","3","3.289","3.069","3.261","2.916","2.923","3.557","3.702","","","3.802","3.539","","","3.219","2.688","3.16","","","","",
"Japan","JPN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3729","","6.7448","","7.2509","","7.7699","","8.2161","","8.6546","","8.612","","8.971","","9.32","","9.774","","10.31","","10.74","","11.18","","11.59","","12.04","","12.45","","","",
"Kazakhstan","KAZ","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.763","10.57","10.37","9.846","9.331","9.096","8.346","7.266","6.87","6.527","6.047","6.298","6.489","6.538","6.661","6.77","7.148","7.244","6.954","7.466","7.547","7.745","7.899","7.878","7.082","7.186","","","","","","","","",
"Kenya","KEN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.464","","","","0.359","0.395","0.715","1.41","1.413","0.9","0.945","0.884","1.061","1.086","1.199","","","","","",
"Kyrgyz Republic","KGZ","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.24","10.37","10.28","9.908","9.674","9.419","9.12","8.662","8.471","8.35","7.93","7.395","6.961","6.739","6.472","6.194","5.875","5.759","5.609","5.597","5.583","5.803","5.923","5.986","5.975","","","","","5.684","","","","",
"Cambodia","KHM","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04","","1.002","","0.918","","","","","","","","0.842","0.851","0.853","0.871","0.923","0.947","0.966","0.593","0.726","0.709","0.695","1.025","","","","",
"Kiribati","KIR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.226","","","","","","2.703","","","","3.471","","3.741","3.749","","5.472","","","","","3.622","","","","","",
"St. Kitts and Nevis","KNA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.97","7.012","6.993","6.908","6","5.681","5.893","5.561","5.634","5.893","","6.391","","","","","","","","","","","","","","4.519","","","","","","","","",
"Korea, Rep.","KOR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.092","1.139","1.195","2.735","2.777","2.922","2.998","3.403","3.637","3.596","3.855","3.896","4.039","4.206","4.41","4.548","4.708","4.805","4.904","5.252","5.615","5.964","6.979","7.091","7.39","8.087","8.53","","","",
"Kuwait","KWT","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.618","","","","","4.171","4.321","4.685","4.848","6.637","6.551","6.334","6.001","6.536","7.018","6.93","7.226","7.106","","4.587","","","",
"Latin America & Caribbean (excluding high income)","LAC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24369061184592","","","","","","","","","","2.64829047183521","","","","","","","","","","","","","","","","","","","3.79072189907942","","","","",
"Lao PDR","LAO","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.236","","","","","1.004","","","","0.971","0.978","","","","0.854","0.847","","0.858","0.95","1.269","1.212","1.255","1.203","1.181","","1.183","","","",
"Lebanon","LBN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.947","","","","1.017","","1.441","","1.674","1.76","","","1.595","1.665","1.574","1.687","1.833","1.929","","","","","",
"Liberia","LBR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.332","","","","0.259","0.869","0.449","","","","","0.1013","","","1.926","","","","","",
"Libya","LBY","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.627","","","","","","","4.775","","","","5.377","6.758","","","","7.35","7.087","","","6.738","","","","","","",
"St. Lucia","LCA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.091","","2.31","","3.037","2.284","1.971","","","","","","","","","","","","3.222","","","","","","",
"Latin America & Caribbean","LCN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2425507772484","","","","","","","","","","2.55587358900116","","","","","","","","","","","","","","","","","","","3.7739980518215","","","","",
"Least developed countries: UN classification","LDC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.544124409908302","","","","","","","","","0.847805540930902","","","","",
"Low income","LIC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.739947120376184","","","","","","","","","0.96868544343728","","","","",
"Liechtenstein","LIE","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.742","0.807","0.873","1.036","0.969","1.089","0.76","0.749","0.788","0.753","1.192","0.835","1.06","","1.705","1.399","1.657","2.026","1.482","1.528","1.711","1.783","1.79","1.799","1.873","1.921","1.911","1.962","2.145","2.226","2.461","2.439","","",
"Lower middle income","LMC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39910325649718","","","","","","","","","","","","","","","","","","","1.59670070056248","","","","",
"Low & middle income","LMY","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.934571152112982","","","","","","","","","","1.60388984217014","","","","","","","","","","","","","","","","","","","2.37886269015469","","","","",
"Lesotho","LSO","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.564","","","","","","","0.657","","","","","","","","3.124","","","","","",
"Late-demographic dividend","LTE","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7105928467445","","","","","","","","","","2.05594368683665","","","","","","","","","","2.35322955858186","","","","","","","","","3.77809414523283","","","","",
"Lithuania","LTU","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.73","9.23","9.198","9.076","9.179","9.146","9.172","8.988","8.911","8.092","7.801","7.761","7.633","7.534","7.469","7.489","7.555","7.563","7.695","7.601","7.557","7.65","7.699","7.67","7.744","7.818","7.847","7.817","8.283","7.905","8.046","9.663","","",
"Luxembourg","LUX","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.147","7.374","7.534","7.469","7.547","7.615","7.684","8","9.196","9.369","11.3","11.27","11.17","11.45","11.47","11.41","11.64","12.3","12.31","12.32","12.28","12.08","12.08","","","","","","",
"Latvia","LVA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.209","6.257","5.775","5.38","4.788","5.079","5.067","4.922","4.7","4.845","4.733","4.672","4.735","4.905","5.084","5.219","5.871","5.815","5.842","5.14","5.197","5.109","5.007","5.034","4.978","4.85","4.808","4.742","4.54","4.594","4.4","","","",
"Macao SAR, China","MAC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","","","","","0.927","","","","0.97","0.942","","","1.391","","","","","","",
"Monaco","MCO","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.94","","","14.73","","","","","","","","","","","","","","","","17.99","18.93","19.6","20.83","","","","","","","","","",
"Moldova","MDA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.78","10.92","10.88","10.88","10.65","10.13","9.806","10.16","9.826","8.558","5.6","5.517","5.582","5.491","5.337","5.87","5.906","6.016","6.064","6.148","6.275","6.405","6.514","6.544","6.481","6.215","","6.285","6.171","5.114","6.118","","","",
"Madagascar","MDG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305","0.296","0.278","0.342","0.295","0.287","0.274","0.237","0.217","0.212","0.212","0.29","","","","","0.292","","","","","",
"Maldives","MDV","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.646","","0.765","","","1.369","","","","","","","","2.933","","","4.734","","5.289","5.166","","","","5.606","6.864","2.501","3.512","6.09","5.061","4.897","","","",
"Middle East & North Africa","MEA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.35590412206694","","","","",
"Mexico","MEX","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.802","1.943","2.039","2.081","2.136","2.174","2.164","2.14","2.169","2.218","3.161","2.247","2.24","2.151","2.124","2.217","2.236","2.302","2.33","2.393","2.445","2.543","2.582","2.841","2.716","2.794","2.898","2.896","2.903","2.88","2.956","","","",
"Marshall Islands","MHL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98","","","","","","","3.482","","","2.378","3.679","3.582","","","","","","4.239","","","","","",
"Middle income","MIC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.934571152112982","","","","","","","","","","1.61848376497342","","","","","","","","","","","","","","","","","","","2.54130174596645","","","","",
"North Macedonia","MKD","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.558","3.557","3.695","3.493","3.5","3.373","3.429","3.702","3.97","4.055","4.146","4.142","4.101","4.152","","3.74","","","","","","","","",
"Mali","MLI","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.654","","","0.168","","0.43","0.432","0.356","0.365","","","","0.397","","0.422","","","","","",
"Malta","MLT","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.662","5.392","5.392","5.528","5.717","5.863","6.164","6.732","6.527","6.777","6.967","6.913","7.202","8.071","7.948","","","8.474","","14.4","","","",
"Myanmar","MMR","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.765","0.806","0.828","0.85","0.883","0.915","0.943","0.973","","","","1.057","","1.019","1.103","","","","",
"Middle East & North Africa (excluding high income)","MNA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.86050183345995","","","","",
"Montenegro","MNE","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.228","5.254","5.366","5.462","5.517","5.227","5.071","4.881","5.327","5.381","4.946","4.953","5.06","5.199","5.238","5.364","5.676","","",
"Mongolia","MNG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.538","","","","","","3.647","3.632","3.654","3.697","3.826","3.854","4.077","4.14","4.102","4.164","4.222","","","","","",
"Northern Mariana Islands","MNP","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282","0.286","0.281","0.301","0.3","0.33","0.335","0.344","0.369","0.396","0.403","0.412","0.4","0.412","0.424","0.422","0.45","0.483","0.482","0.482","0.474","0.486","0.568","","",
"Mauritania","MRT","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.642","","","","","0.693","0.82","","","","1.001","1.048","","1.099","0.954","","","","","",
"Mauritius","MUS","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.682","","","2.597","2.665","2.735","2.805","2.853","2.9","3.07","3.193","3.295","3.195","3.433","3.849","","","","","",
"Malawi","MWI","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585","","","","0.281","0.337","","","","0.224","","","0.295","","0.433","","0.7","","","",
"Malaysia","MYS","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.693","","1.797","","","","","","2.633","","3.141","3.326","3.738","3.82","3.91","4.076","4.084","4.108","4.169","3.394","","","","",
"North America","NAC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.52067789194662","","","","","","","","","","12.1853593021219","","","","","","","","","12.2438460445664","","","","",
"Namibia","NAM","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.169","","","2.859","","","","","","1.864","1.878","1.912","2.073","2.052","1.989","","","","","",
"New Caledonia","NCL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.211","","","","0.137","0.202","","","","0.221","0.305","0.203","0.268","","0.222","","","","","",
"Nigeria","NGA","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","","1.519","1.485","1.48","1.476","1.061","1.336","","","1.008","","","1.73","","0.914","1.483","","1.564","","",
